Feature,MeanAbsSHAP
TTF_Gas_Price_EUR_lag6,0.7875697691072321
Storage_Withdrawal_GWh_lag3,0.7732203170345255
Storage_Withdrawal_GWh_roll6_std,0.7336624305938378
Storage_GasInStorage_TWh_lag6,0.7015866634053748
Spread_JKM_TTF_lag3,0.6955171219729365
Indigenous_Production_roll6_std,0.6466553336898202
TTF_Gas_Price_EUR_momentum_3m,0.6414008537484808
JKM_LNG_Price_USD_roll6,0.6361701830507321
JKM_LNG_Price_USD_lag6,0.5901160060987594
Storage_Fill_Rate_lag2,0.5531818906476056
TTF_Gas_Price_EUR_roll3,0.5400688209083443
TTF_Gas_Price_EUR_lag3,0.5208154476796301
JKM_LNG_Price_USD_roll3,0.5147053415173375
Year,0.4604250219336342
Storage_GasInStorage_TWh_roll3,0.39414053215916883
TTF_Gas_Price_EUR_lag2,0.33719768213207224
Storage_GasInStorage_TWh_lag2,0.20267918236797744
Terminal_ContractedCapacity_TWh,0.0
Terminal_AvailableCapacity_TWh,0.0
